,trade_date,ts_code,name_x,industry_x,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date_x,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name_y,industry_y,list_date_y
154,20250514,000591.SZ,太阳能,新型电力,重庆,15.09,36.03,39.18,498.62,151.4,275.59,118.65,3.03,0.07,6.06,0.73,19960208,74.83,1.91,-7.8,-17.62,44.79,22.4,167857,4.44,4.45,4.39,4.45,4.43,0.02,0.4515,292311.33,129205.657,000591,太阳能,新型电力,19960208
155,20250514,000592.SZ,平潭发展,林业,福建,344.96,19.15,19.32,35.77,28.83,2.98,14.19,0.73,0.002,0.98,3.16,19960327,-14.37,-0.74,-51.51,639.17,9.6,2.67,119109,3.08,3.12,3.05,3.09,3.03,0.06,1.9802,1396521.05,431447.236,000592,平潭发展,林业,19960327
156,20250514,000593.SZ,德龙汇能,供气供热,四川,151.1,3.58,3.59,19.51,5.27,8.38,6.46,1.8,0.01,2.38,2.37,19960312,-1.64,-0.46,0.43,-76.2,9.0,0.72,27228,5.61,5.68,5.58,5.64,5.62,0.02,0.3559,51793.02,29160.55,000593,德龙汇能,供气供热,19960312
157,20250514,000595.SZ,*ST宝实,机械基件,宁夏,0.0,11.39,11.39,10.81,6.77,2.38,6.95,0.61,-0.02,0.26,16.93,19960419,-15.53,-1.36,-34.52,-44.6,-11.88,-65.34,88690,4.26,4.37,4.22,4.35,4.25,0.1,2.3529,191571.02,82524.71,000595,*ST宝实,机械基件,19960419
158,20250514,000596.SZ,古井贡酒,白酒,安徽,9.57,4.09,5.29,429.74,312.7,78.31,62.29,11.78,4.41,50.06,3.37,19960927,194.41,36.78,10.38,12.78,79.68,26.12,40861,165.34,171.47,164.05,168.75,165.75,3.0,1.81,37035.26,621478.377,000596,古井贡酒,白酒,19960927
159,20250514,000597.SZ,东北制药,化学制药,辽宁,50.85,14.07,14.29,136.11,79.41,37.43,24.9,1.74,0.03,3.75,1.38,19960523,13.04,0.91,0.36,-36.98,34.11,1.82,60559,5.18,5.2,5.1,5.17,5.2,-0.03,-0.5769,135605.69,69839.96,000597,东北制药,化学制药,19960523
160,20250514,000598.SZ,兴蓉环境,水务,四川,10.59,29.75,29.84,491.79,92.7,137.37,22.28,0.75,0.17,6.29,1.15,19960529,129.54,4.34,9.61,11.19,46.03,25.69,66535,7.26,7.26,7.13,7.21,7.27,-0.06,-0.8253,163481.0,117396.919,000598,兴蓉环境,水务,19960529
161,20250514,000599.SZ,青岛双星,汽车配件,山东,0.0,8.17,8.17,91.72,31.85,36.29,16.25,1.99,-0.13,1.82,2.64,19960430,-10.92,-1.34,-3.89,-382.86,2.07,-8.84,51012,4.8,4.83,4.74,4.81,4.8,0.01,0.2083,132478.0,63397.097,000599,青岛双星,汽车配件,19960430
162,20250514,000600.SZ,建投能源,火力发电,河北,6.83,10.9,18.09,471.1,77.29,257.71,46.45,2.57,0.25,6.03,1.11,19960606,35.63,1.97,-5.84,75.94,19.24,9.55,63025,6.69,6.73,6.6,6.7,6.74,-0.04,-0.5935,470147.16,313315.732,000600,建投能源,火力发电,19960606
163,20250514,000601.SZ,韶能股份,水力发电,广东,88.35,10.8,10.81,131.28,36.85,84.78,15.83,1.47,0.02,3.75,1.59,19960830,5.32,0.49,15.89,-24.59,11.67,2.08,75454,5.85,5.98,5.75,5.94,5.9,0.04,0.678,740718.05,434296.612,000601,韶能股份,水力发电,19960830
164,20250514,000603.SZ,盛达资源,铅锌,北京,281.31,6.67,6.9,65.47,16.56,19.64,0.2,0.03,0.01,4.4,3.07,19960823,31.87,4.62,33.92,194.37,28.91,3.15,26203,13.47,13.56,13.35,13.51,13.5,0.01,0.0741,97963.09,131973.593,000603,盛达资源,铅锌,19960823
165,20250514,000605.SZ,渤海股份,水务,北京,37.06,3.53,3.53,78.03,20.61,22.8,10.89,3.09,0.05,6.07,1.25,19960913,6.27,1.78,-7.71,1.26,19.16,4.8,23859,7.58,7.61,7.5,7.58,7.6,-0.02,-0.2632,62606.2,47269.808,000605,渤海股份,水务,19960913
166,20250514,000607.SZ,华媒控股,广告包装,浙江,0.0,8.85,10.18,36.01,12.99,1.94,-1.91,-0.19,-0.04,1.54,2.48,19960830,7.5,0.74,-28.53,-263.97,4.97,-21.16,36190,3.81,3.84,3.77,3.82,3.81,0.01,0.2625,59489.0,22643.884,000607,华媒控股,广告包装,19960830
167,20250514,000608.SZ,*ST阳光,区域地产,广西,0.0,7.45,7.5,47.81,0.93,0.44,5.37,0.72,-0.02,3.06,0.55,19960919,7.41,0.99,-0.95,-23.34,58.31,-16.1,34999,1.64,1.71,1.63,1.67,1.64,0.03,1.8293,239930.03,39905.344,000608,*ST阳光,区域地产,19960919
168,20250514,000609.SZ,*ST中迪,区域地产,北京,0.0,2.91,2.99,19.91,18.39,0.02,0.45,0.15,-0.1,0.38,7.24,19961010,-3.71,-1.24,-99.26,13.36,91.91,0.0,13882,2.59,2.73,2.57,2.73,2.6,0.13,5.0,132235.4,35527.491,000609,*ST中迪,区域地产,19961010
169,20250514,000610.SZ,西安旅游,旅游服务,陕西,0.0,2.36,2.37,20.32,6.69,4.61,3.98,1.68,-0.14,0.86,15.09,19960926,-4.8,-2.03,-27.4,-7.32,-2.25,-37.16,62655,13.09,13.14,12.93,13.02,13.09,-0.07,-0.5348,95158.0,123640.95,000610,西安旅游,旅游服务,19960926
